action,date,ticker,signal_date,option_price,stock_price,delta,delta_raw,signal_side,option_qty,stock_position,num_contracts,strike,expiry,dte,entry_cost,rank,prediction,target_weight,target_delta_exposure,per_contract_delta_exposure,exit_reason,days_held,bars_held,realized_pnl,exit_cost,trade_status,trade_seq,entry_date,exit_date,entry_option_price,exit_option_price,entry_stock_price,exit_stock_price
round_trip,2010-01-19,IBM,2010-01-15,2.6399999999999997,134.14,-0.457742,0.457742,-1,-8,366.1936,8,135.0,2010-02-20,32.0,2119.9999999999995,27.0,-0.0012311376631259918,-1.0,50000.0,6140.151188,stop_loss,2.0,2.0,-1690.8874429999946,77.267683,closed,0,2010-01-19,2010-01-20,2.6399999999999997,2.645,134.14,130.25
round_trip,2010-04-16,GE,2010-04-15,0.595,18.97,-0.509442,0.509442,-1,-51,2598.1542,51,19.0,2010-05-22,36.0,3085.5,25.0,-0.0015011867508292198,-1.0,49928.420378560004,966.4114739999999,hpr_limit_exit,20.0,20.0,256.85583558300596,126.415131417,closed,0,2010-04-16,2010-05-13,0.595,0.505,18.97,18.94
round_trip,2011-07-29,CVX,2011-07-28,2.95,104.02,0.450684,0.450684,1,10,-450.68399999999997,10,105.0,2011-09-17,50.0,2960.0,5.0,0.0015915939584374428,1.0,49947.43817781715,4688.0149679999995,hpr_limit_exit,20.0,20.0,7372.4923100000005,126.11769,closed,0,2011-07-29,2011-08-29,2.95,4.525,104.02,93.24
round_trip,2011-10-18,JNJ,2011-10-17,1.06,64.42,0.440476,0.440476,1,17,-748.8091999999999,17,65.0,2011-11-19,32.0,1819.0,6.0,0.0014496613293886185,1.0,50264.058889928914,2837.5463919999997,hpr_limit_exit,20.0,20.0,2370.7103706465005,96.6479203535,closed,0,2011-10-18,2011-11-14,1.06,1.5350000000000001,64.42,62.53
round_trip,2013-02-01,CVX,2013-01-31,2.8,116.5,0.593384,0.593384,1,7,-415.3688,7,115.0,2013-03-16,43.0,1967.0,2.0,0.0014160224236547947,1.0,50375.726570447856,6912.9236,stop_loss,7.0,7.0,-402.1351992840002,53.154931284,closed,1,2013-02-01,2013-02-11,2.8,1.88,116.5,115.64
round_trip,2013-04-16,JNJ,2013-04-15,1.83,83.44,0.622907,0.622907,1,9,-560.6163,9,82.5,2013-05-18,32.0,1656.0,3.0,0.0015811584889888763,1.0,50364.729344232706,5197.536008,stop_loss,2.0,2.0,-1065.081137310003,38.94566931,closed,1,2013-04-16,2013-04-17,1.83,0.865,83.44,83.9
round_trip,2013-10-16,IBM,2013-10-15,5.225,186.73,0.552994,0.552994,1,4,-221.1976,4,185.0,2013-11-16,31.0,2094.0,6.0,0.0012279469519853592,1.0,50307.95306010896,10326.056961999999,hpr_limit_exit,20.0,20.0,1470.2417619999956,46.43823800000001,closed,1,2013-10-16,2013-11-12,5.225,3.1500000000000004,186.73,174.83
round_trip,2015-04-17,GE,2015-04-16,0.5,27.25,0.444581,0.444581,1,9,-400.1229,9,27.5,2015-05-29,42.0,459.0,1.0,0.0011658426374197006,1.0,50397.96074459876,1211.483225,hpr_limit_exit,20.0,20.0,-23.4516745125,23.4516745125,closed,1,2015-04-17,2015-05-14,0.5,0.5,27.25,27.25
round_trip,2016-04-21,MSFT,2016-04-20,1.495,55.78,0.489087,0.489087,1,2,-97.81739999999999,2,56.0,2016-05-27,36.0,301.0,6.0,0.0011869462905451655,1.0,50397.96074459876,2728.127286,hpr_limit_exit,20.0,20.0,288.7019694800001,9.07491052,closed,0,2016-04-21,2016-05-18,1.495,1.1,55.78,52.11
round_trip,2016-07-22,GE,2016-07-21,0.69,32.06,0.518588,0.518588,1,30,-1555.7640000000001,30,32.0,2016-09-16,56.0,2100.0,5.0,0.0011695604771375656,1.0,50411.953923590605,1662.5931280000002,hpr_limit_exit,20.0,20.0,1029.4095554100024,90.66858459000001,closed,2,2016-07-22,2016-08-18,0.69,0.56,32.06,31.19
round_trip,2018-10-30,GE,2018-10-29,0.805,10.18,0.580008,0.580008,1,28,-1624.0223999999998,28,10.0,2018-12-21,52.0,2282.0,5.0,0.001004379941150546,1.0,50460.20392601435,590.448144,hpr_limit_exit,20.0,20.0,3724.3535238699983,73.38612812999999,closed,3,2018-10-30,2018-11-27,0.805,0.7,10.18,7.65
round_trip,2021-07-21,JNJ,2021-07-20,2.69,169.49,0.481658,0.481658,1,6,-288.9948,6,170.0,2021-08-20,30.0,1620.0,6.0,0.001058539841324091,1.0,50645.290916130354,8163.621442,hpr_limit_exit,20.0,20.0,-62.77086432600001,62.77086432600001,closed,2,2021-07-21,2021-08-17,2.69,2.69,169.49,169.49
round_trip,2021-10-19,JNJ,2021-10-18,2.4050000000000002,163.87,0.448391,0.448391,1,6,-269.0346,6,165.0,2021-11-19,31.0,1449.0000000000002,4.0,0.0012993194395676255,1.0,50645.290916130354,7347.783317,hpr_limit_exit,20.0,20.0,-150.3227749439992,54.040438944,closed,3,2021-10-19,2021-11-15,2.4050000000000002,2.205,163.87,163.78
round_trip,2022-01-25,JNJ,2022-01-24,3.325,167.63,0.414531,0.414531,1,7,-290.1717,7,170.0,2022-03-18,52.0,2334.5,4.0,0.002453689929097891,1.0,50640.47903160785,6948.783152999999,stop_loss,5.0,5.0,-790.393920256498,112.55251825650001,closed,4,2022-01-25,2022-01-31,3.325,5.050000000000001,167.63,172.29
round_trip,2022-04-19,JNJ,2022-04-18,3.9,183.08,0.539504,0.539504,1,1,-53.9504,1,182.5,2022-05-20,31.0,391.0,3.0,0.0024985342752188444,1.0,50624.144263491755,9877.239232000002,stop_loss,2.0,2.0,-155.14802688799878,10.889322887999999,closed,5,2022-04-19,2022-04-20,3.9,2.83,183.08,183.89
round_trip,2023-01-24,JNJ,2023-01-23,2.985,168.31,0.442997,0.442997,1,6,-265.79819999999995,6,170.0,2023-03-17,52.0,1797.0,2.0,0.0013863521162420511,1.0,50616.57271495975,7456.082506999999,stop_loss,4.0,4.0,-272.1889348979969,58.581350898,closed,6,2023-01-24,2023-01-27,2.985,2.5949999999999998,168.31,168.23
round_trip,2023-07-20,JNJ,2023-07-19,2.88,168.38,0.439288,0.439288,1,6,-263.57280000000003,6,170.0,2023-09-15,57.0,1734.0,3.0,0.0011267280206084251,1.0,50606.911661156504,7396.731344,stop_loss,5.0,5.0,-1158.5710109520007,61.199222952,closed,7,2023-07-20,2023-07-26,2.88,2.83,168.38,172.72
round_trip,2023-10-27,CVX,2023-10-26,4.775,144.35,0.490162,0.490162,1,4,-196.0648,4,145.0,2023-12-15,49.0,1914.0000000000002,2.0,0.0013145343400537968,1.0,50538.598876866105,7075.488469999999,stop_loss,3.0,3.0,-359.78945024999916,57.43645025,closed,2,2023-10-27,2023-10-31,4.775,4.75,144.35,145.73
round_trip,2024-04-16,JNJ,2024-04-15,3.05,144.45,0.515459,0.515459,1,2,-103.0918,2,145.0,2024-05-17,31.0,612.0,1.0,0.0011682223994284868,1.0,50524.8505387234,7445.805255,hpr_limit_exit,20.0,20.0,-61.82772359800225,21.781387598,closed,8,2024-04-16,2024-05-13,3.05,3.02,144.45,144.77
round_trip,2024-08-02,CVX,2024-08-01,4.375,148.55,0.460171,0.460171,1,7,-322.11969999999997,7,150.0,2024-09-20,49.0,3069.5,1.0,0.00196387292817235,1.0,50522.88911554065,6835.840205,hpr_limit_exit,20.0,20.0,586.5659749040072,84.838213096,closed,3,2024-08-02,2024-08-29,4.375,3.5250000000000004,148.55,145.32
